temp_c,umidade,pressao,co2,radiacao,label,classe
32.92,27.3,100.15,2582,0.25,3,AR_CRITICO
22.56,58.0,97.33,3490,0.25,3,AR_CRITICO
43.18,34.5,100.65,1159,0.384,1,SOBRECARGA_TERMICA
17.11,32.0,87.04,593,0.482,2,RISCO_DESPRESSURIZACAO
27.38,49.3,100.46,3019,0.473,3,AR_CRITICO
17.59,47.5,101.62,484,0.283,0,NOMINAL
19.48,48.5,83.42,896,0.223,2,RISCO_DESPRESSURIZACAO
13.74,40.4,88.36,524,0.541,2,RISCO_DESPRESSURIZACAO
8.74,25.7,84.48,831,0.192,2,RISCO_DESPRESSURIZACAO
39.62,48.2,98.11,1483,0.41,1,SOBRECARGA_TERMICA
16.66,38.7,86.61,564,0.268,2,RISCO_DESPRESSURIZACAO
22.71,51.3,102.21,782,0.471,0,NOMINAL
42.4,39.0,101.51,834,0.298,1,SOBRECARGA_TERMICA
15.23,38.1,86.35,736,0.549,2,RISCO_DESPRESSURIZACAO
23.97,43.6,102.87,3096,0.117,3,AR_CRITICO
19.46,47.8,88.1,925,0.513,2,RISCO_DESPRESSURIZACAO
22.86,33.3,103.21,778,0.437,0,NOMINAL
22.25,66.3,102.53,2735,0.407,3,AR_CRITICO
22.13,37.8,87.71,688,0.401,2,RISCO_DESPRESSURIZACAO
22.88,51.0,87.5,609,0.579,2,RISCO_DESPRESSURIZACAO
39.59,29.8,100.25,987,0.299,1,SOBRECARGA_TERMICA
31.03,48.8,95.25,2273,0.259,3,AR_CRITICO
46.24,47.2,98.49,1131,0.292,1,SOBRECARGA_TERMICA
20.43,56.7,101.35,1970,0.528,3,AR_CRITICO
11.1,35.5,87.97,612,0.57,2,RISCO_DESPRESSURIZACAO
22.39,44.1,100.21,935,0.328,0,NOMINAL
21.17,46.6,88.6,982,0.313,2,RISCO_DESPRESSURIZACAO
21.5,54.3,81.48,899,0.434,2,RISCO_DESPRESSURIZACAO
12.45,53.2,89.4,685,0.185,2,RISCO_DESPRESSURIZACAO
32.38,61.4,98.44,2567,0.474,3,AR_CRITICO
23.09,40.8,82.41,678,0.279,2,RISCO_DESPRESSURIZACAO
37.57,30.1,102.21,904,0.258,1,SOBRECARGA_TERMICA
17.43,55.7,102.62,2433,0.517,3,AR_CRITICO
45.79,33.2,103.57,1118,0.269,1,SOBRECARGA_TERMICA
34.47,46.6,101.2,925,0.163,1,SOBRECARGA_TERMICA
25.35,51.3,102.52,3244,0.376,3,AR_CRITICO
21.54,47.5,102.46,793,0.223,0,NOMINAL
15.78,55.2,103.7,669,0.606,0,NOMINAL
24.69,48.2,101.91,1058,0.198,0,NOMINAL
39.75,32.3,96.77,1205,0.321,1,SOBRECARGA_TERMICA
17.57,37.3,101.08,601,0.195,0,NOMINAL
16.56,52.2,91.74,788,0.344,2,RISCO_DESPRESSURIZACAO
32.67,45.3,103.47,1219,0.476,1,SOBRECARGA_TERMICA
17.64,30.6,101.45,350,0.332,0,NOMINAL
21.17,37.2,102.16,673,0.4,0,NOMINAL
42.77,26.3,103.22,730,0.381,1,SOBRECARGA_TERMICA
20.98,73.7,100.55,3411,0.285,3,AR_CRITICO
27.31,59.1,98.92,2536,0.405,3,AR_CRITICO
27.75,61.9,99.52,2848,0.422,3,AR_CRITICO
38.62,41.3,98.43,1116,0.437,1,SOBRECARGA_TERMICA
35.76,51.4,99.01,350,0.276,1,SOBRECARGA_TERMICA
13.17,44.2,82.44,628,0.295,2,RISCO_DESPRESSURIZACAO
20.22,48.7,102.14,714,0.368,0,NOMINAL
32.6,54.8,99.65,3482,0.273,3,AR_CRITICO
24.59,82.1,98.95,3897,0.285,3,AR_CRITICO
23.45,56.3,104.11,3337,0.375,3,AR_CRITICO
20.37,53.3,100.66,2646,0.281,3,AR_CRITICO
12.88,48.7,86.7,1427,0.298,2,RISCO_DESPRESSURIZACAO
27.04,45.8,93.09,723,0.326,2,RISCO_DESPRESSURIZACAO
19.78,41.3,87.11,573,0.193,2,RISCO_DESPRESSURIZACAO
18.84,39.3,87.01,406,0.547,2,RISCO_DESPRESSURIZACAO
32.42,53.7,99.65,818,0.258,1,SOBRECARGA_TERMICA
24.91,46.3,87.23,836,0.427,2,RISCO_DESPRESSURIZACAO
45.25,47.3,101.74,1364,0.341,1,SOBRECARGA_TERMICA
22.36,40.4,82.79,583,0.458,2,RISCO_DESPRESSURIZACAO
44.89,51.8,102.83,1171,0.28,1,SOBRECARGA_TERMICA
17.15,35.8,81.32,971,0.568,2,RISCO_DESPRESSURIZACAO
21.15,35.6,99.98,561,0.301,0,NOMINAL
22.74,40.4,103.4,2820,0.35,3,AR_CRITICO
36.33,45.4,102.73,1191,0.166,1,SOBRECARGA_TERMICA
11.56,29.2,82.72,929,0.626,2,RISCO_DESPRESSURIZACAO
33.24,49.7,95.81,3288,0.278,3,AR_CRITICO
29.36,61.5,99.06,2622,0.292,3,AR_CRITICO
9.41,46.3,76.87,1035,0.433,2,RISCO_DESPRESSURIZACAO
20.41,42.0,102.68,747,0.241,0,NOMINAL
27.19,53.2,100.84,885,0.429,0,NOMINAL
28.67,59.6,98.33,2300,0.382,3,AR_CRITICO
18.32,57.2,95.39,1458,0.318,0,NOMINAL
38.12,26.9,100.7,902,0.247,1,SOBRECARGA_TERMICA
19.99,47.2,86.87,745,0.763,2,RISCO_DESPRESSURIZACAO
21.51,57.8,96.57,859,0.279,0,NOMINAL
43.66,35.9,96.23,1166,0.316,1,SOBRECARGA_TERMICA
26.05,49.5,104.53,2440,0.319,3,AR_CRITICO
38.03,44.5,94.64,1326,0.116,1,SOBRECARGA_TERMICA
21.08,46.0,101.94,350,0.198,0,NOMINAL
40.19,47.1,102.52,717,0.295,1,SOBRECARGA_TERMICA
38.86,58.4,101.95,1095,0.26,1,SOBRECARGA_TERMICA
21.49,41.3,101.96,758,0.33,0,NOMINAL
20.87,55.0,101.08,611,0.355,0,NOMINAL
22.35,42.0,102.57,490,0.382,0,NOMINAL
16.93,47.5,90.16,640,0.445,2,RISCO_DESPRESSURIZACAO
46.84,40.5,99.66,955,0.314,1,SOBRECARGA_TERMICA
27.51,52.7,98.26,1157,0.249,0,NOMINAL
26.31,67.2,100.94,2434,0.156,3,AR_CRITICO
16.62,44.5,80.24,483,0.718,2,RISCO_DESPRESSURIZACAO
25.53,49.8,100.01,1723,0.395,3,AR_CRITICO
47.42,50.6,100.42,789,0.301,1,SOBRECARGA_TERMICA
20.49,39.4,79.92,629,0.402,2,RISCO_DESPRESSURIZACAO
23.59,22.4,86.29,931,0.726,2,RISCO_DESPRESSURIZACAO
24.62,69.4,99.44,2406,0.28,3,AR_CRITICO
14.8,20.0,85.15,443,0.817,2,RISCO_DESPRESSURIZACAO
9.61,40.6,86.71,774,0.562,2,RISCO_DESPRESSURIZACAO
42.5,33.7,99.68,1453,0.39,1,SOBRECARGA_TERMICA
14.72,42.8,78.48,648,0.341,2,RISCO_DESPRESSURIZACAO
26.77,40.2,101.9,3142,0.089,3,AR_CRITICO
25.2,53.3,100.59,2305,0.46,3,AR_CRITICO
15.8,50.5,87.48,614,0.389,2,RISCO_DESPRESSURIZACAO
40.43,43.3,101.9,1335,0.29,1,SOBRECARGA_TERMICA
18.38,60.1,82.5,1175,0.395,2,RISCO_DESPRESSURIZACAO
20.46,44.3,88.33,443,0.18,2,RISCO_DESPRESSURIZACAO
40.55,62.8,99.97,789,0.084,1,SOBRECARGA_TERMICA
15.0,37.7,91.14,783,0.357,2,RISCO_DESPRESSURIZACAO
31.97,50.6,99.99,2483,0.409,3,AR_CRITICO
19.28,43.9,83.09,497,0.546,2,RISCO_DESPRESSURIZACAO
39.14,36.0,97.82,1060,0.216,1,SOBRECARGA_TERMICA
21.43,36.4,98.79,897,0.283,0,NOMINAL
15.06,28.5,89.81,667,0.812,2,RISCO_DESPRESSURIZACAO
17.03,55.4,93.23,990,0.345,2,RISCO_DESPRESSURIZACAO
47.33,34.3,101.02,877,0.26,1,SOBRECARGA_TERMICA
47.01,42.9,99.93,878,0.192,1,SOBRECARGA_TERMICA
44.73,50.4,100.55,1383,0.217,1,SOBRECARGA_TERMICA
20.2,49.0,82.95,373,0.156,2,RISCO_DESPRESSURIZACAO
42.79,56.2,99.49,1308,0.263,1,SOBRECARGA_TERMICA
17.93,39.1,84.16,910,0.628,2,RISCO_DESPRESSURIZACAO
28.21,64.6,98.67,2252,0.429,3,AR_CRITICO
26.01,38.3,95.14,1360,0.173,0,NOMINAL
37.02,44.6,101.17,618,0.246,1,SOBRECARGA_TERMICA
24.76,51.8,98.39,3171,0.319,3,AR_CRITICO
37.58,46.6,101.84,646,0.065,1,SOBRECARGA_TERMICA
21.51,45.4,98.89,1054,0.404,0,NOMINAL
30.4,62.6,102.67,3030,0.455,3,AR_CRITICO
46.93,34.5,95.0,1029,0.191,1,SOBRECARGA_TERMICA
27.87,44.8,98.84,3077,0.237,3,AR_CRITICO
23.11,29.5,98.65,690,0.339,0,NOMINAL
36.67,25.1,102.33,722,0.355,1,SOBRECARGA_TERMICA
14.82,57.4,90.73,864,0.495,2,RISCO_DESPRESSURIZACAO
21.95,33.4,99.23,1531,0.302,3,AR_CRITICO
18.02,39.8,104.34,984,0.382,0,NOMINAL
23.56,51.2,102.23,1518,0.432,3,AR_CRITICO
46.41,30.8,100.86,1130,0.512,1,SOBRECARGA_TERMICA
39.18,49.9,100.94,1394,0.339,1,SOBRECARGA_TERMICA
21.51,70.4,102.55,2786,0.482,3,AR_CRITICO
16.36,38.6,86.4,1096,0.446,2,RISCO_DESPRESSURIZACAO
19.16,44.5,88.67,551,0.481,2,RISCO_DESPRESSURIZACAO
38.74,34.8,101.64,350,0.45,1,SOBRECARGA_TERMICA
25.74,66.6,92.01,3291,0.328,3,AR_CRITICO
15.82,41.9,92.4,846,0.702,2,RISCO_DESPRESSURIZACAO
29.79,92.2,97.46,3081,0.353,3,AR_CRITICO
29.78,73.5,99.47,2582,0.417,3,AR_CRITICO
19.5,58.1,99.35,574,0.363,0,NOMINAL
22.58,23.9,85.7,841,0.618,2,RISCO_DESPRESSURIZACAO
23.92,49.5,99.73,2441,0.215,3,AR_CRITICO
40.1,40.4,101.44,1347,0.426,1,SOBRECARGA_TERMICA
22.89,38.9,101.48,839,0.35,0,NOMINAL
10.5,34.3,94.48,873,0.542,2,RISCO_DESPRESSURIZACAO
36.26,43.7,97.86,1011,0.276,1,SOBRECARGA_TERMICA
37.54,44.8,101.69,1041,0.164,1,SOBRECARGA_TERMICA
41.51,42.1,99.28,1107,0.275,1,SOBRECARGA_TERMICA
23.93,54.0,101.9,749,0.424,0,NOMINAL
15.48,50.8,88.23,454,0.625,2,RISCO_DESPRESSURIZACAO
27.1,55.3,92.0,2877,0.293,3,AR_CRITICO
37.14,45.6,99.85,1091,0.297,1,SOBRECARGA_TERMICA
39.79,44.3,99.34,1080,0.05,1,SOBRECARGA_TERMICA
23.29,23.3,101.85,664,0.482,0,NOMINAL
41.6,64.6,100.15,741,0.167,1,SOBRECARGA_TERMICA
25.22,51.5,101.64,3806,0.27,3,AR_CRITICO
24.32,47.7,90.54,517,0.651,2,RISCO_DESPRESSURIZACAO
21.14,20.9,102.12,624,0.296,0,NOMINAL
18.88,55.7,99.17,778,0.208,0,NOMINAL
17.9,35.3,97.78,1048,0.331,0,NOMINAL
24.49,41.6,101.29,770,0.108,0,NOMINAL
29.28,72.1,95.45,3508,0.442,3,AR_CRITICO
26.66,44.8,85.83,501,0.464,2,RISCO_DESPRESSURIZACAO
24.75,43.2,95.63,984,0.133,0,NOMINAL
21.15,42.9,101.2,801,0.193,0,NOMINAL
40.06,21.7,98.79,350,0.276,1,SOBRECARGA_TERMICA
17.88,51.0,101.54,525,0.345,0,NOMINAL
36.41,37.8,100.88,355,0.182,1,SOBRECARGA_TERMICA
29.25,46.2,100.13,2776,0.452,3,AR_CRITICO
44.89,33.9,101.01,1585,0.461,1,SOBRECARGA_TERMICA
17.61,43.8,88.61,768,0.493,2,RISCO_DESPRESSURIZACAO
22.79,44.7,98.35,709,0.345,0,NOMINAL
16.02,51.8,100.67,798,0.328,0,NOMINAL
25.75,56.6,101.39,2722,0.289,3,AR_CRITICO
15.37,53.2,89.7,701,0.428,2,RISCO_DESPRESSURIZACAO
35.29,36.1,101.72,1019,0.401,1,SOBRECARGA_TERMICA
16.83,58.7,86.42,827,0.322,2,RISCO_DESPRESSURIZACAO
12.75,39.3,86.54,685,0.537,2,RISCO_DESPRESSURIZACAO
21.43,21.9,101.89,738,0.302,0,NOMINAL
22.1,78.5,100.6,3017,0.427,3,AR_CRITICO
18.5,53.1,89.71,631,0.648,2,RISCO_DESPRESSURIZACAO
20.04,52.3,101.01,556,0.42,0,NOMINAL
13.09,49.7,78.43,715,0.733,2,RISCO_DESPRESSURIZACAO
44.38,29.6,101.76,586,0.05,1,SOBRECARGA_TERMICA
22.46,72.9,101.55,2854,0.313,3,AR_CRITICO
18.03,24.1,98.64,452,0.288,0,NOMINAL
24.78,35.0,101.17,515,0.4,0,NOMINAL
20.65,65.8,101.27,2130,0.337,3,AR_CRITICO
26.28,51.9,94.73,2884,0.201,3,AR_CRITICO
21.45,37.7,79.46,955,0.301,2,RISCO_DESPRESSURIZACAO
17.61,62.7,80.13,737,0.085,2,RISCO_DESPRESSURIZACAO
39.93,19.0,100.4,816,0.185,1,SOBRECARGA_TERMICA
38.5,34.9,100.29,775,0.089,1,SOBRECARGA_TERMICA
19.14,46.2,91.85,843,0.547,2,RISCO_DESPRESSURIZACAO
19.86,56.4,98.3,2875,0.4,3,AR_CRITICO
42.75,34.7,96.79,1159,0.191,1,SOBRECARGA_TERMICA
20.9,56.1,87.74,681,0.392,2,RISCO_DESPRESSURIZACAO
20.78,35.0,98.6,526,0.232,0,NOMINAL
25.27,45.5,105.37,702,0.154,0,NOMINAL
21.26,47.5,103.2,759,0.298,0,NOMINAL
15.55,41.5,83.97,690,0.44,2,RISCO_DESPRESSURIZACAO
25.96,45.9,101.97,851,0.373,0,NOMINAL
45.8,39.1,98.62,597,0.285,1,SOBRECARGA_TERMICA
22.4,56.4,81.48,1228,0.529,2,RISCO_DESPRESSURIZACAO
23.02,40.6,101.76,504,0.11,0,NOMINAL
20.58,55.6,103.91,2491,0.22,3,AR_CRITICO
18.52,47.6,88.61,651,0.384,2,RISCO_DESPRESSURIZACAO
29.99,50.7,103.28,2643,0.258,3,AR_CRITICO
22.04,44.4,87.97,595,0.628,2,RISCO_DESPRESSURIZACAO
50.48,29.8,101.91,734,0.155,1,SOBRECARGA_TERMICA
42.34,31.3,100.85,350,0.38,1,SOBRECARGA_TERMICA
16.51,49.4,100.97,953,0.2,0,NOMINAL
26.36,68.2,101.96,2055,0.255,3,AR_CRITICO
17.55,38.2,87.9,710,0.178,2,RISCO_DESPRESSURIZACAO
35.71,44.6,103.04,774,0.468,1,SOBRECARGA_TERMICA
22.66,40.9,76.14,1212,0.876,2,RISCO_DESPRESSURIZACAO
37.09,37.3,101.41,1007,0.307,1,SOBRECARGA_TERMICA
43.81,33.2,100.53,1107,0.388,1,SOBRECARGA_TERMICA
45.52,42.0,98.71,870,0.278,1,SOBRECARGA_TERMICA
14.95,39.7,83.74,622,0.932,2,RISCO_DESPRESSURIZACAO
